AgeGrp,Sex,Genotype,Diet,Line,Ymaze.Distance_mean,Ymaze.Distance_sd,Ymaze.MeanSpeed_mean,Ymaze.MeanSpeed_sd,Ymaze.SponAlt_mean,Ymaze.SponAlt_sd,Ymaze.TotalArmEntries_mean,Ymaze.TotalArmEntries_sd,Ymaze.AltArmReturns_mean,Ymaze.AltArmReturns_sd,Ymaze.Percent.SponAlt_mean,Ymaze.Percent.SponAlt_sd,Ymaze.Percent.AltArmReturns_mean,Ymaze.Percent.AltArmReturns_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Male,Ntg,6% Extruded,B6xBXD101,13.157333333333334,1.629790006923182,0.027333333333333334,0.0036147844564602557,20.166666666666668,3.9200340134578764,28.166666666666668,3.710345895825168,5.333333333333333,2.422120283277993,77,9.252026804976301,20.833333333333332,8.773064838850027,55,0,1.8,0,6
2,Male,Ntg,6% Extruded,B6xBXD102,12.614571428571429,2.122912767649113,0.02614285714285714,0.004525062483125563,16.571428571428573,4.391550328268399,28,4.203173404306164,7.714285714285714,2.3603873774083293,63.142857142857146,7.946247991527646,30.428571428571427,9.980934205726818,59.142857142857146,2.6726124191242437,1.9385714285714286,0.08552359741197564,7
2,Male,Ntg,6% Extruded,B6xBXD113,10.995357142857143,2.6105931128957844,0.023,0.005363695626080098,16.285714285714285,4.250403988556155,26.857142857142858,6.780709548271624,4.928571428571429,2.6154654156878734,66.5,9.866415450717339,19.357142857142858,8.7407722142325,60.285714285714285,7.405076963486931,1.9757142857142858,0.2416199904399878,14
2,Male,Ntg,6% Extruded,B6xBXD12,13.620285714285714,3.3070756892284328,0.028333333333333332,0.0068142008580121365,17.428571428571427,5.065288032989127,30.761904761904763,9.18642891391841,8.238095238095237,4.392092461512643,61.904761904761905,10.72802293950177,27.714285714285715,9.659931972549584,55.42857142857143,5.732115042211108,1.8161904761904761,0.1872558728178155,21
2,Male,Ntg,6% Extruded,B6xBXD124,11.737555555555556,3.4704250386253768,0.02440740740740741,0.007132047172172719,16.962962962962962,5.774489531095311,26.555555555555557,8.233764132817493,5.888888888888889,3.308884698613409,70.03703703703704,12.457563292670168,23.666666666666668,11.055802514099518,66.48148148148148,8.15414179972537,2.18,0.2677541926698959,27
2,Male,Ntg,6% Extruded,B6xBXD125,15.9689,3.4733687257852655,0.03335,0.007271248354414731,20.85,6.2008063991709985,37.65,8.517937729162778,10.3,4.268612494895613,58.25,10.264271194677912,28.8,8.697246993339784,61.35,10.059167068165394,2.012,0.33055933458943576,20
2,Male,Ntg,6% Extruded,B6xBXD14,12.508555555555555,3.821065078395464,0.026000000000000002,0.00802879433424088,16.59259259259259,6.5118782547402105,28.25925925925926,10.58879157989745,7.222222222222222,5.892193879867559,64.33333333333333,12.316343113615652,25.703703703703702,12.293884704990573,58.7037037037037,8.305766369562473,1.9255555555555555,0.2717228980659034,27
2,Male,Ntg,6% Extruded,B6xBXD152,9.427034482758621,2.506070807384663,0.019689655172413792,0.0052379347639249,13.241379310344827,4.641852865996148,21.103448275862068,5.582784939860129,4.344827586206897,2.2563539183661123,69.72413793103448,12.449602838542217,22.75862068965517,10.263162880675281,59,10.312959946452951,1.9341379310344826,0.33707266322792556,29
2,Male,Ntg,6% Extruded,B6xBXD154,14.109172413793104,3.0205347689838624,0.029413793103448275,0.006366863106177789,18.862068965517242,5.282884344283328,33.172413793103445,8.59430444919874,8.172413793103448,4.088913281381753,60.724137931034484,9.550230183180096,25.689655172413794,8.615200222678942,64.79310344827586,8.583120105120065,2.1241379310344826,0.28215392508066167,29
2,Male,Ntg,6% Extruded,B6xBXD156,16.023416666666666,3.5440062963809584,0.033416666666666664,0.007366488411390567,21,6.252272314199781,34.333333333333336,8.348471099367218,9.416666666666666,5.0893531171962465,65.08333333333333,10.933337952696732,28.083333333333332,10.99965564199281,56,0,1.84,0,12
2,Male,Ntg,6% Extruded,B6xBXD16,14.434333333333333,2.496501528610175,0.029944444444444444,0.005296749527356901,20.333333333333332,4.058397249567139,33.55555555555556,6.644079383155593,7.5,4.176263457995464,65.5,11.120992338286872,23,9.869739849959691,64.77777777777777,9.006896413667471,2.125,0.2952815207062376,18
2,Male,Ntg,6% Extruded,B6xBXD160,9.51775,3.7663981183239623,0.02,0.007782764841072135,12.25,6.497252166438187,21.875,9.87692115127844,5.5,2.7255405754769875,55.375,24.552785701713884,35.625,26.532661812512195,55,0,1.8,0,8
2,Male,Ntg,6% Extruded,B6xBXD161,11.815857142857142,3.079768795005208,0.02457142857142857,0.0064946050056869644,15.785714285714286,5.7629541219447695,28.071428571428573,8.502411733796787,7,3.3774853674601473,60.82142857142857,10.274216457206059,26.571428571428573,8.430230309355911,64.71428571428571,11.88480867530804,2.1214285714285714,0.3903722277397257,28
2,Male,Ntg,6% Extruded,B6xBXD169,12.751055555555556,1.999752012403316,0.0265,0.004102264183176338,17.47222222222222,3.359303593740916,29.333333333333332,5.656854249492381,6.861111111111111,2.987141756431367,64.72222222222223,8.74924032983472,24.666666666666668,8.304903886947072,59.888888888888886,5.370702416299421,1.9633333333333334,0.177924542593603,36
2,Male,Ntg,6% Extruded,B6xBXD172,11.481,4.19992833272188,0.02375,0.00899536917900909,14.5,5.802298395176403,26.25,10.404326023342406,7.5,3.872983346207417,60.5,3.3166247903554,31,7.164728420068226,84,0,2.75,0,4
2,Male,Ntg,6% Extruded,B6xBXD19,11.19805,3.797458218402517,0.023325000000000002,0.007878524852163244,15.175,5.900401985436551,25.075,9.387355106601428,4.975,2.8418800205642127,66.325,13.148827577646102,21.875,9.332016848545575,60.975,10.499053681409968,1.99975,0.3453908042961012,40
2,Male,Ntg,6% Extruded,B6xBXD22,12.5615,0.12091525958289918,0.026,0,16,2.8284271247461903,29,2.8284271247461903,6,0,59,4.242640687119285,22.5,2.1213203435596424,83,0,2.72,0,2
2,Male,Ntg,6% Extruded,B6xBXD28,9.750194444444444,2.913614552598046,0.02036111111111111,0.006062308743505836,13.444444444444445,4.699206282186353,23.083333333333332,8.075978490030083,5.388888888888889,3.6196114848954855,64.83333333333333,9.259743902660437,24.13888888888889,10.000436498409965,60.52777777777778,7.915576366023463,1.9838888888888888,0.2586589345923401,36
2,Male,Ntg,6% Extruded,B6xBXD31,11.859833333333333,3.4638232117739847,0.024666666666666667,0.00720269309902816,17,6.888725967444594,30.083333333333332,8.857029394609103,7,4.327501903786147,59.5,14.393811801667347,25.25,12.432545267087582,59.75,1.864744681524183,1.9558333333333333,0.060371325724195915,12
2,Male,Ntg,6% Extruded,B6xBXD32,13.629642857142857,3.893064713389358,0.02835714285714286,0.008034609203623103,19.428571428571427,6.098099145374171,30.357142857142858,8.77590357265185,6.714285714285714,3.7504578475079633,70.28571428571429,12.424718361943919,22.285714285714285,10.607896706108734,61.57142857142857,7.271803138088989,2.017142857142857,0.23879275119227975,14
2,Male,Ntg,6% Extruded,B6xBXD33,12.543500000000002,3.277439930799648,0.026000000000000002,0.007071067811865474,18.5,4.949747468305833,26.5,7.7781745930520225,4.5,3.5355339059327378,76,4.242640687119285,17,8.48528137423857,57,0,1.87,0,2
2,Male,Ntg,6% Extruded,B6xBXD34,12.743,2.8318835604593633,0.0266,0.0059833101206606355,18.8,5.974947698515862,28.8,6.418722614352485,5.4,1.6733200530681511,69.4,6.767569726275452,20.2,4.08656334834051,57.8,1.0954451150103321,1.8940000000000001,0.03286335345030988,5
2,Male,Ntg,6% Extruded,B6xBXD38,11.051925925925927,1.7501275541629688,0.022851851851851852,0.003613050104016142,14.444444444444445,2.9395621512438956,24.703703703703702,4.33957472938407,6.111111111111111,2.5469942063498077,64.18518518518519,9.26547369803632,26.74074074074074,9.309187325484897,57.96296296296296,5.60550197766912,1.9,0.18330302779823357,27
2,Male,Ntg,6% Extruded,B6xBXD39,11.54648,2.7420428078350634,0.02408,0.00567097875150313,15.92,4.08166632639171,26.24,7.078606265831337,5.8,2.9297326385411577,67.12,11.71295578977968,23.44,10.6226173799116,58.52,7.681796664843453,1.9184,0.2512581673631062,25
2,Male,Ntg,6% Extruded,B6xBXD42,14.033909090909091,5.825634290865596,0.029272727272727273,0.012108599498628312,17.272727272727273,7.695335068610191,32.09090909090909,14.327976447876688,9.727272727272727,5.798118817183882,57.81818181818182,9.28243698409186,31.181818181818183,9.998181652862502,59.81818181818182,7.3731700349060425,1.9627272727272727,0.24232585124542144,11
2,Male,Ntg,6% Extruded,B6xBXD44,12.7735,2.2637099276107877,0.026416666666666668,0.004601547829181223,17.666666666666668,4.599077641388016,27.916666666666668,6.30235646164964,5.75,3.467380462644282,68.83333333333333,9.77783516971219,21.416666666666668,9.56754298594361,64.75,5.207075605715397,2.1233333333333335,0.1723280873710659,12
2,Male,Ntg,6% Extruded,B6xBXD45,10.8288,2.869852731413234,0.022600000000000002,0.0062289646009589745,16.2,4.969909455915671,29.4,9.710818709048171,8.2,3.8987177379235853,60.6,13.164345787011218,29.2,6.942621983083913,65,0,2.13,0,5
2,Male,Ntg,6% Extruded,B6xBXD48a,13.199384615384616,3.385187526525464,0.02746153846153846,0.006947606117881955,16.53846153846154,5.15776735638242,29.53846153846154,8.559744784117735,7.769230769230769,4.548879828299237,62.30769230769231,16.534734225182934,27.076923076923077,13.487411034377814,64,8.134289561274953,2.0984615384615384,0.266984586129554,13
2,Male,Ntg,6% Extruded,B6xBXD49,13.641,3.61105847824891,0.028499999999999998,0.007505553499465135,17.75,9.742518497116988,29.5,10.14889156509222,6.75,1.2583057392117916,61.75,9.6393291606141691,25.75,5.737304826019502,59.5,10.969655114602888,1.9499999999999997,0.3579571668975679,4
2,Male,Ntg,6% Extruded,B6xBXD50,10.170541666666667,2.2434862036603866,0.021291666666666667,0.004648320563168058,13.125,4.306844905900172,21.291666666666668,4.768366475070861,4.625,2.7475285336968316,67.20833333333333,12.521213882904854,24.291666666666668,12.599099921842818,57.5,6.358835004047176,1.8854166666666665,0.20832623176302037,24
2,Male,Ntg,6% Extruded,B6xBXD51,12.11125,3.2814080492548143,0.02525,0.00671352579286239,17.5,4.780914437337574,27.25,8.762745818846641,5,2.6186146828319083,70.875,6.642665127793212,19.75,6.296257391725432,66,3.7032803990902057,2.165,0.12035661297043158,8
2,Male,Ntg,6% Extruded,B6xBXD53,16.618,NA,0.035,NA,27,NA,38,NA,8,NA,75,NA,22,NA,64,NA,2.1,NA,1
2,Male,Ntg,6% Extruded,B6xBXD55,16.67432,3.4978922191323547,0.03464,0.007273696905059123,22.44,5.802872851728989,37.68,8.270026199071761,9.76,4.284468072779474,63.2,10.012492197250394,26.84,8.081254028099023,59.28,9.744742172063866,1.9436,0.31785583734349343,25
2,Male,Ntg,6% Extruded,B6xBXD60,15.648125,2.219658528542923,0.0325,0.004589843860815602,22.5,4.531372124791048,36.375,8.546929273136639,9.375,5.3650100962937,67.1875,12.07321415365436,25.9375,8.789908987014599,53.1875,2.993743475984541,1.744375,0.09750000000000002,16
2,Male,Ntg,6% Extruded,B6xBXD61,11.648939393939393,2.543316031033525,0.024303030303030302,0.0053296625625177275,15.696969696969697,4.792473581596776,27.03030303030303,6.8942224384119655,5.787878787878788,3.018252554848332,62.515151515151516,14.1644828976414,22.09090909090909,8.910540234616937,63.60606060606061,10.612314173695204,2.084848484848485,0.3490533735344175,33
2,Male,Ntg,6% Extruded,B6xBXD62,10.24236,3.1111666070248742,0.02144,0.006519713695145414,13.36,4.803470967262458,23.88,7.2647551002540105,5.68,2.734349404642111,60.24,8.98276126811795,27.52,12.72504092986214,59.6,5.916079783099616,1.9536,0.19431246314463033,25
2,Male,Ntg,6% Extruded,B6xBXD64,14.398272727272728,2.3712928157825255,0.03,0.004878524367060188,20.272727272727273,3.58024884863913,32,5.157518783291051,8,2.8635642126552705,67.9090909090909,6.331738236133036,26.454545454545453,7.42110013897719,55.45454545454545,11.868981728553097,1.8199999999999998,0.3889215859270349,11
2,Male,Ntg,6% Extruded,B6xBXD65,14.854111111111111,3.039979970694252,0.030833333333333334,0.006261460081557748,20,4.702940256778043,33.72222222222222,8.079061939981978,8.444444444444445,3.4678730932445716,64,8.650059503365553,25.944444444444443,7.050008111987175,55.72222222222222,4.098860036006505,1.825,0.13600389267785465,18
2,Male,Ntg,6% Extruded,B6xBXD66,13.157324324324325,2.8417340075506132,0.027432432432432433,0.005843042113586137,17.37837837837838,4.698411973749756,30.43243243243243,7.104539005063909,7.837837837837838,3.3542138796968137,61.648648648648646,8.848151772533617,27.27027027027027,8.368753553309839,59.62162162162162,5.402424102769625,1.9556756756756757,0.17628166446124002,37
2,Male,Ntg,6% Extruded,B6xBXD68,14.373615384615384,2.971252316137734,0.029846153846153845,0.006188326479379108,21.5,5.88727441181401,33.88461538461539,8.855854213239615,8.038461538461538,3.4115189488644995,68.23076923076923,8.999145258557359,24.653846153846153,6.716798688019808,56.03846153846154,6.520618186833326,1.8384615384615386,0.21362944193518477,26
2,Male,Ntg,6% Extruded,B6xBXD69,11.156,NA,0.023,NA,17,NA,23,NA,4,NA,81,NA,19,NA,86,NA,2.82,NA,1
2,Male,Ntg,6% Extruded,B6xBXD73,11.084944444444444,3.1132874672873134,0.023055555555555555,0.0064628363717685105,14.277777777777779,4.838010872905228,23.555555555555557,6.979334575094613,5.305555555555555,3.096721256374642,67,11.964232409262916,23.666666666666668,11.258013019305722,61.833333333333336,6.818043288635992,2.027222222222222,0.22275689646032262,36
2,Male,Ntg,6% Extruded,B6xBXD73a,14.137375,2.4566619011228576,0.029375,0.0051252177654083275,20.5,3.6645015252516173,29.875,5.19443383412888,5.5,1.7728105208558367,74,8.383657572069263,19.75,4.978525312350464,64,0,2.1,0,8
2,Male,Ntg,6% Extruded,B6xBXD74,13.743758620689656,3.595736767887895,0.028620689655172414,0.007513862394189671,18.379310344827587,4.578004814197746,31.896551724137932,8.35098295149485,8.586206896551724,4.6253744356485065,62.172413793103445,10.23324053380258,27.275862068965516,9.315488453277837,58.758620689655174,4.830373931205631,1.9248275862068964,0.15923075550136953,29
2,Male,Ntg,6% Extruded,B6xBXD75,11.568761904761905,3.50508289352423,0.024095238095238097,0.007381766468161683,16.238095238095237,5.7175585865364065,25.476190476190474,7.852509456339723,4.904761904761905,3.2848860239704196,68.61904761904762,9.499874685890285,20.333333333333332,12.12985298069739,62.38095238095238,8.564322451170264,2.045714285714286,0.28115069675480847,21
2,Male,Ntg,6% Extruded,B6xBXD77,13.351566666666667,4.994803090132323,0.027899999999999998,0.010453014744148182,18.366666666666667,8.0106968715472,31.033333333333335,13.474070458203924,8.133333333333333,5.775891233414103,63.766666666666666,10.33802266604587,27.2,10.697727763891958,62.4,6.360438067758627,2.0446666666666666,0.2078416727211851,30
2,Male,Ntg,6% Extruded,B6xBXD78,10.776444444444445,1.1956713711458415,0.022444444444444444,0.002455153310442706,13.444444444444445,1.130388330520878,23.555555555555557,2.96273147243853,6.777777777777778,3.3082388735465345,63.333333333333336,9.513148795220223,30.22222222222222,11.388346870571008,49.333333333333336,1,1.6166666666666667,0.03499999999999992,9
2,Male,Ntg,6% Extruded,B6xBXD83,10.661814814814814,2.3850465248975596,0.02225925925925926,0.005012235740915139,14.592592592592593,4.144127070178854,25.22222222222222,5.071286692541521,5.481481481481482,2.343080982388037,62.851851851851855,9.975754082557845,23.185185185185187,8.274320966966865,59.2962962962963,9.453590342847017,1.9433333333333334,0.30942875407135945,27
2,Male,Ntg,6% Extruded,B6xBXD87,11.82259090909091,3.427222944366125,0.024636363636363637,0.007108314745995603,14.772727272727273,5.004110864192113,25.681818181818183,7.466664734075199,4.954545454545454,2.869831133695977,63.31818181818182,12.93347949218971,20.59090909090909,8.899754362094928,61.27272727272727,6.705944897603691,2.006818181818182,0.2202030743186706,22
