AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Male,5XFAD,6% Extruded,B6xBXD68,30.08,NA,87,NA,2.85,NA,1
2,Male,5XFAD,6% Extruded,B6xBXD73,26.9225,1.3810231714203787,85,1.1547005383792515,2.785,0.04041451884327371,4
2,Male,5XFAD,6% Extruded,B6xBXD74,25.813333333333333,1.1616826875987556,88.5,2.7386127875258306,2.9,0.08763560920082666,6
2,Male,5XFAD,6% Extruded,B6xBXD75,27.009999999999998,2.5173001410241085,86,0,2.82,0,2
2,Male,5XFAD,6% Extruded,B6xBXD77,29.3825,1.7086910194649,86,0,2.82,0,4
2,Male,5XFAD,6% Extruded,B6xBXD83,27.049999999999997,2.0364675298172563,86,0,2.82,0,2
2,Male,5XFAD,6% Extruded,B6xBXD87,24.59,1.2020815280171329,91,0,2.98,0,2
2,Male,5XFAD,6% Extruded,B6xBXD99,24.975,0.700035713374681,82.5,4.949747468305833,2.705,0.1626345596729059,2
2,Male,Ntg,45% HFD,B6xBXD113,38.295,0.6434671708797558,86,0,2.82,0,2
2,Male,Ntg,45% HFD,B6xBXD12,24.134,1.0748860404712683,84.6,3.1304951684997055,2.774,0.10285912696499032,5
2,Male,Ntg,45% HFD,B6xBXD14,34.85,1.8983413813115906,86,0,2.82,0,3
2,Male,Ntg,45% HFD,B6xBXD152,33.61333333333334,3.75385579548993,85,1.7320508075688772,2.783333333333333,0.05773502691896263,3
2,Male,Ntg,45% HFD,B6xBXD154,27.9325,3.565448779606853,91,0,2.98,0,4
2,Male,Ntg,45% HFD,B6xBXD16,33.89,NA,86,NA,2.82,NA,1
2,Male,Ntg,45% HFD,B6xBXD161,30.14,NA,86,NA,2.82,NA,1
2,Male,Ntg,45% HFD,B6xBXD19,36.57,2.2747454069997954,84,0,2.75,0,4
2,Male,Ntg,45% HFD,B6xBXD28,31.266666666666666,1.5967571303530586,86,0,2.82,0,3
2,Male,Ntg,45% HFD,B6xBXD38,31.845000000000002,1.8257792856750248,85.33333333333333,5.391351098441528,2.7966666666666664,0.17534727447744,6
2,Male,Ntg,45% HFD,B6xBXD50,26.405,0.13435028842544494,87,0,2.85,0,2
2,Male,Ntg,45% HFD,B6xBXD55,35.815,1.322289680818842,91,0,2.98,0,2
2,Male,Ntg,45% HFD,B6xBXD60,39.83,2.06475180106472,86,0,2.82,0,2
2,Male,Ntg,45% HFD,B6xBXD61,31.16,NA,86,NA,2.82,NA,1
2,Male,Ntg,45% HFD,B6xBXD62,30.8,1.9821200770891765,86,0,2.82,0,4
2,Male,Ntg,45% HFD,B6xBXD65,28.82,1.8298360582303548,86,0,2.82,0,3
2,Male,Ntg,45% HFD,B6xBXD66,28.44,3.508090648771778,86,0,2.82,0,3
2,Male,Ntg,45% HFD,B6xBXD68,30.64666666666667,0.8554141297250903,89.33333333333333,2.886751345948129,2.9266666666666667,0.09237604307034021,3
2,Male,Ntg,45% HFD,B6xBXD73,27.814285714285713,2.2517760186340103,86,0,2.82,0,7
2,Male,Ntg,45% HFD,B6xBXD74,29.572499999999998,2.8845840254705695,86,0,2.82,0,4
2,Male,Ntg,45% HFD,B6xBXD75,31.939999999999998,2.457010378488458,86,0,2.82,0,5
2,Male,Ntg,45% HFD,B6xBXD77,34.266666666666666,2.2313747630851535,83.66666666666667,4.041451884327381,2.743333333333333,0.1327905619136139,3
2,Male,Ntg,45% HFD,B6xBXD99,28.47,1.6829141392239824,86,0,2.82,0,2
2,Male,Ntg,45% HFD,B6xD2Gpnmb,28.258,1.326996608887905,79,0,2.59,0,5
