AgeGrp,Sex,Genotype,Diet,Line,NB.Average_mean,NB.Average_sd,IS.Average_mean,IS.Average_sd,GS.Average_mean,GS.Average_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
14,Male,Ntg,6% Extruded,B6xBXD34,52.74466666666666,21.7215073394309,17.639333334,9.774751886662237,-2.9393333334666663,0.3552104226514499,421.4,6.024948132556827,13.814,0.1971801207018595,5
14,Male,Ntg,6% Extruded,B6xBXD38,74.35000000666668,53.338936386184564,11.281333332666666,6.616930556107316,-2.895999999866666,0.461557748851405,407.2,8.438009243891594,13.35,0.2749545416973501,5
14,Male,Ntg,6% Extruded,B6xBXD39,52.108333335,45.172338202443584,20.10833333166665,2.7223611099252065,-2.748333333166665,0.20506096677979857,408.5,0.7071067811865476,13.395,0.021213203435595972,2
14,Male,Ntg,6% Extruded,B6xBXD42,85.0873333333334,48.14248322580718,12.80066666666666,3.3216523656131227,-2.788666666533334,0.23863733527304987,419,7.582875444051551,13.736,0.24694128856876094,5
14,Male,Ntg,6% Extruded,B6xBXD48a,49.1,38.16019595803397,22.593333333333298,0.1979898987322316,-3.486666666666665,0.10842303978193477,448,0,14.69,0,2
14,Male,Ntg,6% Extruded,B6xBXD49,98.73666666666665,114.92370812364564,5.505,5.423509011700819,-3.198333333333335,0.4219070461079759,448,0,14.69,0,2
14,Male,Ntg,6% Extruded,B6xBXD5,22.748888888888867,0.6397597928852754,27.4422222222222,18.50852786430362,-2.7766666666666664,0.10333333333333505,419,0,13.74,0,3
14,Male,Ntg,6% Extruded,B6xBXD50,38.054814815185146,38.355812471009344,20.731481481481488,7.208391350654991,-3.15666666662963,0.3932061941342668,420.55555555555554,9.368979548370131,13.79111111111111,0.3061227059711696,9
14,Male,Ntg,6% Extruded,B6xBXD51,113.58333333499999,93.92735076525604,14.848333329999999,1.152584053334073,-3.42,0.13670731150080376,409,0,13.41,0,2
14,Male,Ntg,6% Extruded,B6xBXD55,61.154166666666676,18.544617942814835,11.038333334083324,3.6353964582994025,-2.9324999998333325,0.2628952050229796,423.5,29.444863728670914,13.885000000000002,0.9641749495466749,4
14,Male,Ntg,6% Extruded,B6xBXD60,88.25619047571429,59.92502273515146,19.1695238100476,13.659226623458785,-3.036666666666667,0.2437667372130195,421.57142857142856,8.017837257372731,13.819999999999999,0.26608269391300143,7
14,Male,Ntg,6% Extruded,B6xBXD61,110.90809523809523,68.96903298279607,8.933809524285714,1.8639567920046667,-3.1171428570952373,0.25641711226295105,421.85714285714283,8.008923594519874,13.832857142857144,0.2637368818674074,7
14,Male,Ntg,6% Extruded,B6xBXD62,129.618333335,71.25043629260345,10.1300000015,6.076404275589123,-3.115,0.01649915869909042,412,0,13.51,0,2
14,Male,Ntg,6% Extruded,B6xBXD65,123.963333333333,NA,7.95333333333333,NA,-3.51333333333333,NA,412,NA,13.51,NA,1
14,Male,Ntg,6% Extruded,B6xBXD66,100.1273333333334,71.34864346604252,12.776666666666666,3.795273376187813,-2.734666666666666,0.3327628451481775,422,18.34393632784414,13.838,0.6038791269782388,5
14,Male,Ntg,6% Extruded,B6xBXD68,132.79833333416667,54.57485850997844,11.864999999916675,6.210072165250673,-3.2291666665833323,0.20831555492275947,410.75,5.5,13.47,0.17999999999999972,4
14,Male,Ntg,6% Extruded,B6xBXD73,55.90888888888876,69.14217641396048,5.962222222222223,2.6805810591763133,-3.2533333333333334,0.451122057885794,411,1.7320508075688772,13.476666666666667,0.05773502691896237,3
14,Male,Ntg,6% Extruded,B6xBXD74,92.33833333333314,74.25328309239914,19.96666666666665,11.41741749355881,-3.108333333333335,0.2993418707023026,433,9.899494936611665,14.2,0.3252691193458112,2
14,Male,Ntg,6% Extruded,B6xBXD75,75.4933333333334,44.098177525960395,14.805333333333321,2.4375028205111975,-3.069333333333332,0.3679251131533255,419.4,26.26404386228442,13.752,0.8614058277025988,5
14,Male,Ntg,6% Extruded,B6xBXD77,180,0,24.523333333333348,10.667884305501069,-3.058333333333335,0.5774705379690162,403,0,13.21,0,2
14,Male,Ntg,6% Extruded,B6xBXD78,104.22250000749992,38.69862123461754,12.087500000833325,2.2891602464914125,-3.57583333325,0.13527407020632556,433.5,7.505553499465135,14.215,0.24826061575153893,4
14,Male,Ntg,6% Extruded,B6xBXD81,91.79833333333333,78.0172456006434,23.129166666666674,6.183983718415612,-2.9075000000000024,0.279766767941521,419,0,13.74,0,4
14,Male,Ntg,6% Extruded,B6xBXD83,150.191333334,43.02963562610771,21.87933333399998,10.097914910624741,-2.8373333334,0.29889983471223164,418.6,13.86722755275906,13.724,0.45445571841489696,5
14,Male,Ntg,6% Extruded,B6xBXD87,118.12,21.68932200159583,7.38,1.5839191898578666,-3.0633333333333352,0.31584102892999383,446,0,14.62,0,2
